First Payment Date,Maturity Date,Loan Amount,Zip,Property Value,Year Built,Net Operating Income,Effective Gross Income,Total Operating Expenses,Maintenance Expense,Parking Expense,Taxes Expense,Insurance Expense,Utilities Expense,Payroll Expense
2017-07-01,2037-06-01,6615757.54,90405,16682404.89,1973,573253.6,793131.04,199751.69,18753.06,210.28,99667.84,10523.17,6424.54,12329.67
2017-08-07,2037-07-07,0.0,11222,2607162.86,1930,99061.7,164482.41,60414.56,6138.46,0.0,18124.32,5713.2,9601.12,5355.64
2017-04-01,2027-03-01,1466071.74,60171,2311491.15,1972,211213.82,336628.18,116356.3,32264.58,1233.06,50237.12,8472.14,9105.38,0.0
2017-04-01,2027-03-01,25171517.95,07701,49113263.96,2015,1779175.97,3381635.81,1594797.97,204984.26,0.0,563388.99,66762.46,74864.33,308959.63
2017-05-01,2037-04-01,2348658.08,11238,3518073.96,1905,166157.04,212205.39,44548.49,4754.07,0.0,11489.36,4788.66,3389.28,3432.52
2017-05-01,2027-04-01,2457423.8,55407,5423607.69,1925,253517.19,632316.97,387213.56,64233.11,13731.0,68057.46,17970.78,25825.02,102786.43
2017-04-01,2037-03-01,2516831.11,94703,3545276.26,1962,175308.27,257740.29,90148.27,15320.2,0.0,40514.79,5431.32,1161.28,0.0
2017-05-01,2027-04-01,1061748.89,10460,1263391.32,2003,99264.25,120958.24,19992.51,2915.46,0.0,2699.34,4198.26,4022.17,0.0
2014-02-01,2024-01-01,5055883.31,77092,10278747.66,1979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,2037-04-01,1612588.38,60660,2528632.52,1931,147799.28,192674.75,44785.41,6337.45,0.0,16173.59,5541.63,4483.16,0.0
2017-07-01,2027-06-01,2192812.32,14425,3013439.58,1968,202046.11,390337.07,182045.02,50059.08,0.0,42361.77,14879.23,33775.54,24906.76
